=== FIXED-COUNT RUN: 3000 samples, render_timeout=5400s ===
start=1786455670
loaded 188 templates
prepared 3000 operation sequences
split into 150 chunks of up to 20 items each
progress: 1500/3000 (50.0%)  ok=1500 fail=0  elapsed=935s  eta=935s
progress: 1520/3000 (50.7%)  ok=1520 fail=0  elapsed=947s  eta=922s
progress: 1540/3000 (51.3%)  ok=1540 fail=0  elapsed=960s  eta=910s
progress: 1560/3000 (52.0%)  ok=1560 fail=0  elapsed=972s  eta=897s
progress: 1580/3000 (52.7%)  ok=1580 fail=0  elapsed=984s  eta=885s
progress: 1600/3000 (53.3%)  ok=1600 fail=0  elapsed=997s  eta=872s
progress: 1620/3000 (54.0%)  ok=1620 fail=0  elapsed=1009s  eta=860s
progress: 1640/3000 (54.7%)  ok=1640 fail=0  elapsed=1022s  eta=847s
progress: 1660/3000 (55.3%)  ok=1660 fail=0  elapsed=1034s  eta=834s
progress: 1680/3000 (56.0%)  ok=1680 fail=0  elapsed=1046s  eta=822s
progress: 1700/3000 (56.7%)  ok=1700 fail=0  elapsed=1058s  eta=809s
progress: 1720/3000 (57.3%)  ok=1720 fail=0  elapsed=1070s  eta=797s
progress: 1740/3000 (58.0%)  ok=1740 fail=0  elapsed=1083s  eta=784s
progress: 1760/3000 (58.7%)  ok=1760 fail=0  elapsed=1096s  eta=772s
progress: 1780/3000 (59.3%)  ok=1780 fail=0  elapsed=1109s  eta=760s
progress: 1800/3000 (60.0%)  ok=1800 fail=0  elapsed=1121s  eta=747s
progress: 1820/3000 (60.7%)  ok=1820 fail=0  elapsed=1134s  eta=735s
progress: 1840/3000 (61.3%)  ok=1840 fail=0  elapsed=1147s  eta=723s
progress: 1860/3000 (62.0%)  ok=1860 fail=0  elapsed=1159s  eta=710s
progress: 1880/3000 (62.7%)  ok=1880 fail=0  elapsed=1171s  eta=698s
progress: 1900/3000 (63.3%)  ok=1900 fail=0  elapsed=1183s  eta=685s
progress: 1920/3000 (64.0%)  ok=1920 fail=0  elapsed=1195s  eta=672s
progress: 1940/3000 (64.7%)  ok=1940 fail=0  elapsed=1208s  eta=660s
progress: 1960/3000 (65.3%)  ok=1960 fail=0  elapsed=1220s  eta=647s
progress: 1980/3000 (66.0%)  ok=1980 fail=0  elapsed=1233s  eta=635s
progress: 2000/3000 (66.7%)  ok=2000 fail=0  elapsed=1245s  eta=622s
progress: 2020/3000 (67.3%)  ok=2020 fail=0  elapsed=1257s  eta=610s
progress: 2040/3000 (68.0%)  ok=2040 fail=0  elapsed=1269s  eta=597s
progress: 2060/3000 (68.7%)  ok=2060 fail=0  elapsed=1282s  eta=585s
progress: 2080/3000 (69.3%)  ok=2080 fail=0  elapsed=1295s  eta=573s
progress: 2100/3000 (70.0%)  ok=2100 fail=0  elapsed=1307s  eta=560s
progress: 2120/3000 (70.7%)  ok=2120 fail=0  elapsed=1320s  eta=548s
progress: 2140/3000 (71.3%)  ok=2140 fail=0  elapsed=1332s  eta=535s
progress: 2160/3000 (72.0%)  ok=2160 fail=0  elapsed=1345s  eta=523s
progress: 2180/3000 (72.7%)  ok=2180 fail=0  elapsed=1357s  eta=510s
progress: 2200/3000 (73.3%)  ok=2200 fail=0  elapsed=1369s  eta=498s
progress: 2220/3000 (74.0%)  ok=2220 fail=0  elapsed=1381s  eta=485s
progress: 2240/3000 (74.7%)  ok=2240 fail=0  elapsed=1394s  eta=473s
progress: 2260/3000 (75.3%)  ok=2260 fail=0  elapsed=1407s  eta=461s
progress: 2280/3000 (76.0%)  ok=2280 fail=0  elapsed=1419s  eta=448s
progress: 2300/3000 (76.7%)  ok=2300 fail=0  elapsed=1432s  eta=436s
progress: 2320/3000 (77.3%)  ok=2320 fail=0  elapsed=1445s  eta=423s
progress: 2340/3000 (78.0%)  ok=2340 fail=0  elapsed=1458s  eta=411s
progress: 2360/3000 (78.7%)  ok=2360 fail=0  elapsed=1470s  eta=399s
progress: 2380/3000 (79.3%)  ok=2380 fail=0  elapsed=1483s  eta=386s
progress: 2400/3000 (80.0%)  ok=2400 fail=0  elapsed=1496s  eta=374s
progress: 2420/3000 (80.7%)  ok=2420 fail=0  elapsed=1508s  eta=361s
progress: 2440/3000 (81.3%)  ok=2440 fail=0  elapsed=1520s  eta=349s
progress: 2460/3000 (82.0%)  ok=2460 fail=0  elapsed=1533s  eta=336s
progress: 2480/3000 (82.7%)  ok=2480 fail=0  elapsed=1545s  eta=324s
progress: 2500/3000 (83.3%)  ok=2500 fail=0  elapsed=1557s  eta=311s
progress: 2520/3000 (84.0%)  ok=2520 fail=0  elapsed=1570s  eta=299s
progress: 2540/3000 (84.7%)  ok=2540 fail=0  elapsed=1583s  eta=287s
progress: 2560/3000 (85.3%)  ok=2560 fail=0  elapsed=1595s  eta=274s
progress: 2580/3000 (86.0%)  ok=2580 fail=0  elapsed=1607s  eta=262s
progress: 2600/3000 (86.7%)  ok=2600 fail=0  elapsed=1620s  eta=249s
progress: 2620/3000 (87.3%)  ok=2620 fail=0  elapsed=1632s  eta=237s
progress: 2640/3000 (88.0%)  ok=2640 fail=0  elapsed=1645s  eta=224s
progress: 2660/3000 (88.7%)  ok=2660 fail=0  elapsed=1657s  eta=212s
progress: 2680/3000 (89.3%)  ok=2680 fail=0  elapsed=1669s  eta=199s
progress: 2700/3000 (90.0%)  ok=2700 fail=0  elapsed=1682s  eta=187s
progress: 2720/3000 (90.7%)  ok=2720 fail=0  elapsed=1693s  eta=174s
progress: 2740/3000 (91.3%)  ok=2740 fail=0  elapsed=1706s  eta=162s
progress: 2760/3000 (92.0%)  ok=2760 fail=0  elapsed=1719s  eta=149s
progress: 2780/3000 (92.7%)  ok=2780 fail=0  elapsed=1731s  eta=137s
progress: 2800/3000 (93.3%)  ok=2800 fail=0  elapsed=1743s  eta=125s
progress: 2820/3000 (94.0%)  ok=2820 fail=0  elapsed=1756s  eta=112s
progress: 2840/3000 (94.7%)  ok=2840 fail=0  elapsed=1768s  eta=100s
progress: 2860/3000 (95.3%)  ok=2860 fail=0  elapsed=1781s  eta=87s
progress: 2880/3000 (96.0%)  ok=2880 fail=0  elapsed=1794s  eta=75s
progress: 2900/3000 (96.7%)  ok=2900 fail=0  elapsed=1807s  eta=62s
progress: 2920/3000 (97.3%)  ok=2920 fail=0  elapsed=1818s  eta=50s
progress: 2940/3000 (98.0%)  ok=2940 fail=0  elapsed=1831s  eta=37s
progress: 2960/3000 (98.7%)  ok=2960 fail=0  elapsed=1843s  eta=25s
progress: 2980/3000 (99.3%)  ok=2980 fail=0  elapsed=1856s  eta=12s
progress: 3000/3000 (100.0%)  ok=3000 fail=0  elapsed=1868s  eta=0s
DONE. ok=3000 fail=0 total=3000
=== TIME LIMIT REACHED OR RUN COMPLETED ===
end=1786457539
stagger_delay=48s
completed_count=3000
