=== FIXED-COUNT RUN: 3000 samples, render_timeout=5400s ===
start=1786444886
loaded 188 templates
prepared 3000 operation sequences
split into 150 chunks of up to 20 items each
progress: 1500/3000 (50.0%)  ok=1500 fail=0  elapsed=1144s  eta=1144s
progress: 1520/3000 (50.7%)  ok=1520 fail=0  elapsed=1158s  eta=1128s
progress: 1540/3000 (51.3%)  ok=1540 fail=0  elapsed=1174s  eta=1113s
progress: 1560/3000 (52.0%)  ok=1560 fail=0  elapsed=1188s  eta=1096s
progress: 1580/3000 (52.7%)  ok=1580 fail=0  elapsed=1203s  eta=1081s
progress: 1600/3000 (53.3%)  ok=1600 fail=0  elapsed=1217s  eta=1065s
progress: 1620/3000 (54.0%)  ok=1620 fail=0  elapsed=1233s  eta=1050s
progress: 1640/3000 (54.7%)  ok=1640 fail=0  elapsed=1248s  eta=1035s
progress: 1660/3000 (55.3%)  ok=1660 fail=0  elapsed=1262s  eta=1019s
progress: 1680/3000 (56.0%)  ok=1680 fail=0  elapsed=1277s  eta=1003s
progress: 1700/3000 (56.7%)  ok=1700 fail=0  elapsed=1292s  eta=988s
progress: 1720/3000 (57.3%)  ok=1720 fail=0  elapsed=1308s  eta=973s
progress: 1740/3000 (58.0%)  ok=1740 fail=0  elapsed=1324s  eta=958s
progress: 1760/3000 (58.7%)  ok=1760 fail=0  elapsed=1338s  eta=943s
progress: 1780/3000 (59.3%)  ok=1780 fail=0  elapsed=1353s  eta=927s
progress: 1800/3000 (60.0%)  ok=1800 fail=0  elapsed=1368s  eta=912s
progress: 1820/3000 (60.7%)  ok=1820 fail=0  elapsed=1383s  eta=897s
progress: 1840/3000 (61.3%)  ok=1840 fail=0  elapsed=1398s  eta=881s
progress: 1860/3000 (62.0%)  ok=1860 fail=0  elapsed=1413s  eta=866s
progress: 1880/3000 (62.7%)  ok=1880 fail=0  elapsed=1430s  eta=852s
progress: 1900/3000 (63.3%)  ok=1900 fail=0  elapsed=1445s  eta=837s
progress: 1920/3000 (64.0%)  ok=1920 fail=0  elapsed=1461s  eta=822s
progress: 1940/3000 (64.7%)  ok=1940 fail=0  elapsed=1476s  eta=806s
progress: 1960/3000 (65.3%)  ok=1960 fail=0  elapsed=1492s  eta=791s
progress: 1980/3000 (66.0%)  ok=1980 fail=0  elapsed=1506s  eta=776s
progress: 2000/3000 (66.7%)  ok=2000 fail=0  elapsed=1521s  eta=761s
progress: 2020/3000 (67.3%)  ok=2020 fail=0  elapsed=1537s  eta=746s
progress: 2040/3000 (68.0%)  ok=2040 fail=0  elapsed=1552s  eta=730s
progress: 2060/3000 (68.7%)  ok=2060 fail=0  elapsed=1566s  eta=715s
progress: 2080/3000 (69.3%)  ok=2080 fail=0  elapsed=1581s  eta=699s
progress: 2100/3000 (70.0%)  ok=2100 fail=0  elapsed=1597s  eta=684s
progress: 2120/3000 (70.7%)  ok=2120 fail=0  elapsed=1611s  eta=669s
progress: 2140/3000 (71.3%)  ok=2140 fail=0  elapsed=1627s  eta=654s
progress: 2160/3000 (72.0%)  ok=2160 fail=0  elapsed=1641s  eta=638s
progress: 2180/3000 (72.7%)  ok=2180 fail=0  elapsed=1657s  eta=623s
progress: 2200/3000 (73.3%)  ok=2200 fail=0  elapsed=1672s  eta=608s
progress: 2220/3000 (74.0%)  ok=2220 fail=0  elapsed=1687s  eta=593s
progress: 2240/3000 (74.7%)  ok=2240 fail=0  elapsed=1701s  eta=577s
progress: 2260/3000 (75.3%)  ok=2260 fail=0  elapsed=1717s  eta=562s
progress: 2280/3000 (76.0%)  ok=2280 fail=0  elapsed=1731s  eta=547s
progress: 2300/3000 (76.7%)  ok=2300 fail=0  elapsed=1746s  eta=531s
progress: 2320/3000 (77.3%)  ok=2320 fail=0  elapsed=1761s  eta=516s
progress: 2340/3000 (78.0%)  ok=2340 fail=0  elapsed=1775s  eta=501s
progress: 2360/3000 (78.7%)  ok=2360 fail=0  elapsed=1790s  eta=485s
progress: 2380/3000 (79.3%)  ok=2380 fail=0  elapsed=1805s  eta=470s
progress: 2400/3000 (80.0%)  ok=2400 fail=0  elapsed=1820s  eta=455s
progress: 2420/3000 (80.7%)  ok=2420 fail=0  elapsed=1835s  eta=440s
progress: 2440/3000 (81.3%)  ok=2440 fail=0  elapsed=1850s  eta=425s
progress: 2460/3000 (82.0%)  ok=2460 fail=0  elapsed=1865s  eta=409s
progress: 2480/3000 (82.7%)  ok=2480 fail=0  elapsed=1880s  eta=394s
progress: 2500/3000 (83.3%)  ok=2500 fail=0  elapsed=1897s  eta=379s
progress: 2520/3000 (84.0%)  ok=2520 fail=0  elapsed=1912s  eta=364s
progress: 2540/3000 (84.7%)  ok=2540 fail=0  elapsed=1928s  eta=349s
progress: 2560/3000 (85.3%)  ok=2560 fail=0  elapsed=1942s  eta=334s
progress: 2580/3000 (86.0%)  ok=2580 fail=0  elapsed=1957s  eta=319s
progress: 2600/3000 (86.7%)  ok=2600 fail=0  elapsed=1974s  eta=304s
progress: 2620/3000 (87.3%)  ok=2620 fail=0  elapsed=1989s  eta=289s
progress: 2640/3000 (88.0%)  ok=2640 fail=0  elapsed=2005s  eta=273s
progress: 2660/3000 (88.7%)  ok=2660 fail=0  elapsed=2020s  eta=258s
progress: 2680/3000 (89.3%)  ok=2680 fail=0  elapsed=2035s  eta=243s
progress: 2700/3000 (90.0%)  ok=2700 fail=0  elapsed=2050s  eta=228s
progress: 2720/3000 (90.7%)  ok=2720 fail=0  elapsed=2066s  eta=213s
progress: 2740/3000 (91.3%)  ok=2740 fail=0  elapsed=2082s  eta=198s
progress: 2760/3000 (92.0%)  ok=2760 fail=0  elapsed=2097s  eta=182s
progress: 2780/3000 (92.7%)  ok=2780 fail=0  elapsed=2113s  eta=167s
progress: 2800/3000 (93.3%)  ok=2800 fail=0  elapsed=2128s  eta=152s
progress: 2820/3000 (94.0%)  ok=2820 fail=0  elapsed=2143s  eta=137s
progress: 2840/3000 (94.7%)  ok=2840 fail=0  elapsed=2159s  eta=122s
progress: 2860/3000 (95.3%)  ok=2860 fail=0  elapsed=2175s  eta=106s
progress: 2880/3000 (96.0%)  ok=2880 fail=0  elapsed=2190s  eta=91s
progress: 2900/3000 (96.7%)  ok=2900 fail=0  elapsed=2204s  eta=76s
progress: 2920/3000 (97.3%)  ok=2920 fail=0  elapsed=2220s  eta=61s
progress: 2940/3000 (98.0%)  ok=2940 fail=0  elapsed=2234s  eta=46s
progress: 2960/3000 (98.7%)  ok=2960 fail=0  elapsed=2249s  eta=30s
progress: 2980/3000 (99.3%)  ok=2980 fail=0  elapsed=2265s  eta=15s
progress: 3000/3000 (100.0%)  ok=3000 fail=0  elapsed=2281s  eta=0s
DONE. ok=3000 fail=0 total=3000
=== TIME LIMIT REACHED OR RUN COMPLETED ===
end=1786447168
stagger_delay=13s
completed_count=3000
