=== BUDGET-LIMITED RUN: time_limit=1800s ===
start=1786061105
loaded 188 templates
prepared 200000 operation sequences
split into 10000 chunks of up to 20 items each
progress: 1500/200000 (0.8%)  ok=1500 fail=0  elapsed=1194s  eta=158037s
progress: 1520/200000 (0.8%)  ok=1520 fail=0  elapsed=1210s  eta=158060s
progress: 1540/200000 (0.8%)  ok=1540 fail=0  elapsed=1226s  eta=157987s
progress: 1560/200000 (0.8%)  ok=1560 fail=0  elapsed=1241s  eta=157854s
progress: 1580/200000 (0.8%)  ok=1580 fail=0  elapsed=1257s  eta=157906s
progress: 1600/200000 (0.8%)  ok=1600 fail=0  elapsed=1273s  eta=157840s
progress: 1620/200000 (0.8%)  ok=1620 fail=0  elapsed=1289s  eta=157829s
progress: 1640/200000 (0.8%)  ok=1640 fail=0  elapsed=1305s  eta=157796s
progress: 1660/200000 (0.8%)  ok=1660 fail=0  elapsed=1321s  eta=157877s
progress: 1680/200000 (0.8%)  ok=1680 fail=0  elapsed=1337s  eta=157782s
progress: 1700/200000 (0.9%)  ok=1700 fail=0  elapsed=1353s  eta=157781s
progress: 1720/200000 (0.9%)  ok=1720 fail=0  elapsed=1370s  eta=157881s
progress: 1740/200000 (0.9%)  ok=1740 fail=0  elapsed=1385s  eta=157851s
progress: 1760/200000 (0.9%)  ok=1760 fail=0  elapsed=1402s  eta=157925s
progress: 1780/200000 (0.9%)  ok=1780 fail=0  elapsed=1418s  eta=157908s
progress: 1800/200000 (0.9%)  ok=1800 fail=0  elapsed=1435s  eta=157991s
progress: 1820/200000 (0.9%)  ok=1820 fail=0  elapsed=1451s  eta=157989s
progress: 1840/200000 (0.9%)  ok=1840 fail=0  elapsed=1467s  eta=157970s
progress: 1860/200000 (0.9%)  ok=1860 fail=0  elapsed=1482s  eta=157906s
progress: 1880/200000 (0.9%)  ok=1880 fail=0  elapsed=1498s  eta=157832s
progress: 1900/200000 (0.9%)  ok=1900 fail=0  elapsed=1514s  eta=157822s
progress: 1920/200000 (1.0%)  ok=1920 fail=0  elapsed=1529s  eta=157792s
progress: 1940/200000 (1.0%)  ok=1940 fail=0  elapsed=1544s  eta=157659s
progress: 1960/200000 (1.0%)  ok=1960 fail=0  elapsed=1559s  eta=157521s
progress: 1980/200000 (1.0%)  ok=1980 fail=0  elapsed=1574s  eta=157429s
progress: 2000/200000 (1.0%)  ok=2000 fail=0  elapsed=1590s  eta=157457s
progress: 2020/200000 (1.0%)  ok=2020 fail=0  elapsed=1607s  eta=157502s
progress: 2040/200000 (1.0%)  ok=2040 fail=0  elapsed=1623s  eta=157483s
progress: 2060/200000 (1.0%)  ok=2060 fail=0  elapsed=1638s  eta=157435s
progress: 2080/200000 (1.0%)  ok=2080 fail=0  elapsed=1654s  eta=157429s
progress: 2100/200000 (1.1%)  ok=2100 fail=0  elapsed=1672s  eta=157535s
progress: 2120/200000 (1.1%)  ok=2120 fail=0  elapsed=1687s  eta=157428s
progress: 2140/200000 (1.1%)  ok=2140 fail=0  elapsed=1702s  eta=157361s
=== TIME LIMIT REACHED OR RUN COMPLETED ===
end=1786062905
completed_count=2147
