=== FIXED-COUNT RUN: 3000 samples, render_timeout=5400s ===
start=1786458313
loaded 188 templates
prepared 3000 operation sequences
split into 150 chunks of up to 20 items each
progress: 1500/3000 (50.0%)  ok=1500 fail=0  elapsed=1038s  eta=1038s
progress: 1520/3000 (50.7%)  ok=1520 fail=0  elapsed=1052s  eta=1025s
progress: 1540/3000 (51.3%)  ok=1540 fail=0  elapsed=1066s  eta=1010s
progress: 1560/3000 (52.0%)  ok=1560 fail=0  elapsed=1079s  eta=996s
progress: 1580/3000 (52.7%)  ok=1580 fail=0  elapsed=1093s  eta=982s
progress: 1600/3000 (53.3%)  ok=1600 fail=0  elapsed=1106s  eta=968s
progress: 1620/3000 (54.0%)  ok=1620 fail=0  elapsed=1120s  eta=954s
progress: 1640/3000 (54.7%)  ok=1640 fail=0  elapsed=1134s  eta=940s
progress: 1660/3000 (55.3%)  ok=1660 fail=0  elapsed=1148s  eta=927s
progress: 1680/3000 (56.0%)  ok=1680 fail=0  elapsed=1163s  eta=913s
progress: 1700/3000 (56.7%)  ok=1700 fail=0  elapsed=1176s  eta=900s
progress: 1720/3000 (57.3%)  ok=1720 fail=0  elapsed=1190s  eta=886s
progress: 1740/3000 (58.0%)  ok=1740 fail=0  elapsed=1204s  eta=872s
progress: 1760/3000 (58.7%)  ok=1760 fail=0  elapsed=1218s  eta=858s
progress: 1780/3000 (59.3%)  ok=1780 fail=0  elapsed=1231s  eta=844s
progress: 1800/3000 (60.0%)  ok=1800 fail=0  elapsed=1245s  eta=830s
progress: 1820/3000 (60.7%)  ok=1820 fail=0  elapsed=1259s  eta=816s
progress: 1840/3000 (61.3%)  ok=1840 fail=0  elapsed=1273s  eta=803s
progress: 1860/3000 (62.0%)  ok=1860 fail=0  elapsed=1287s  eta=789s
progress: 1880/3000 (62.7%)  ok=1880 fail=0  elapsed=1300s  eta=774s
progress: 1900/3000 (63.3%)  ok=1900 fail=0  elapsed=1314s  eta=761s
progress: 1920/3000 (64.0%)  ok=1920 fail=0  elapsed=1328s  eta=747s
progress: 1940/3000 (64.7%)  ok=1940 fail=0  elapsed=1341s  eta=733s
progress: 1960/3000 (65.3%)  ok=1960 fail=0  elapsed=1355s  eta=719s
progress: 1980/3000 (66.0%)  ok=1980 fail=0  elapsed=1368s  eta=705s
progress: 2000/3000 (66.7%)  ok=2000 fail=0  elapsed=1382s  eta=691s
progress: 2020/3000 (67.3%)  ok=2020 fail=0  elapsed=1397s  eta=678s
progress: 2040/3000 (68.0%)  ok=2040 fail=0  elapsed=1409s  eta=663s
progress: 2060/3000 (68.7%)  ok=2060 fail=0  elapsed=1423s  eta=649s
progress: 2080/3000 (69.3%)  ok=2080 fail=0  elapsed=1437s  eta=635s
progress: 2100/3000 (70.0%)  ok=2100 fail=0  elapsed=1450s  eta=621s
progress: 2120/3000 (70.7%)  ok=2120 fail=0  elapsed=1464s  eta=608s
progress: 2140/3000 (71.3%)  ok=2140 fail=0  elapsed=1478s  eta=594s
progress: 2160/3000 (72.0%)  ok=2160 fail=0  elapsed=1491s  eta=580s
progress: 2180/3000 (72.7%)  ok=2180 fail=0  elapsed=1505s  eta=566s
progress: 2200/3000 (73.3%)  ok=2200 fail=0  elapsed=1519s  eta=552s
progress: 2220/3000 (74.0%)  ok=2220 fail=0  elapsed=1532s  eta=538s
progress: 2240/3000 (74.7%)  ok=2240 fail=0  elapsed=1546s  eta=525s
progress: 2260/3000 (75.3%)  ok=2260 fail=0  elapsed=1560s  eta=511s
progress: 2280/3000 (76.0%)  ok=2280 fail=0  elapsed=1573s  eta=497s
progress: 2300/3000 (76.7%)  ok=2300 fail=0  elapsed=1587s  eta=483s
progress: 2320/3000 (77.3%)  ok=2320 fail=0  elapsed=1601s  eta=469s
progress: 2340/3000 (78.0%)  ok=2340 fail=0  elapsed=1614s  eta=455s
progress: 2360/3000 (78.7%)  ok=2360 fail=0  elapsed=1628s  eta=441s
progress: 2380/3000 (79.3%)  ok=2380 fail=0  elapsed=1641s  eta=427s
progress: 2400/3000 (80.0%)  ok=2400 fail=0  elapsed=1654s  eta=414s
progress: 2420/3000 (80.7%)  ok=2420 fail=0  elapsed=1668s  eta=400s
progress: 2440/3000 (81.3%)  ok=2440 fail=0  elapsed=1682s  eta=386s
progress: 2460/3000 (82.0%)  ok=2460 fail=0  elapsed=1695s  eta=372s
progress: 2480/3000 (82.7%)  ok=2480 fail=0  elapsed=1708s  eta=358s
progress: 2500/3000 (83.3%)  ok=2500 fail=0  elapsed=1721s  eta=344s
progress: 2520/3000 (84.0%)  ok=2520 fail=0  elapsed=1735s  eta=330s
progress: 2540/3000 (84.7%)  ok=2540 fail=0  elapsed=1748s  eta=317s
progress: 2560/3000 (85.3%)  ok=2560 fail=0  elapsed=1762s  eta=303s
progress: 2580/3000 (86.0%)  ok=2580 fail=0  elapsed=1775s  eta=289s
progress: 2600/3000 (86.7%)  ok=2600 fail=0  elapsed=1789s  eta=275s
progress: 2620/3000 (87.3%)  ok=2620 fail=0  elapsed=1802s  eta=261s
progress: 2640/3000 (88.0%)  ok=2640 fail=0  elapsed=1815s  eta=248s
progress: 2660/3000 (88.7%)  ok=2660 fail=0  elapsed=1830s  eta=234s
progress: 2680/3000 (89.3%)  ok=2680 fail=0  elapsed=1844s  eta=220s
progress: 2700/3000 (90.0%)  ok=2700 fail=0  elapsed=1858s  eta=206s
progress: 2720/3000 (90.7%)  ok=2720 fail=0  elapsed=1871s  eta=193s
progress: 2740/3000 (91.3%)  ok=2740 fail=0  elapsed=1884s  eta=179s
progress: 2760/3000 (92.0%)  ok=2760 fail=0  elapsed=1898s  eta=165s
progress: 2780/3000 (92.7%)  ok=2780 fail=0  elapsed=1911s  eta=151s
progress: 2800/3000 (93.3%)  ok=2800 fail=0  elapsed=1924s  eta=137s
progress: 2820/3000 (94.0%)  ok=2820 fail=0  elapsed=1938s  eta=124s
progress: 2840/3000 (94.7%)  ok=2840 fail=0  elapsed=1952s  eta=110s
progress: 2860/3000 (95.3%)  ok=2860 fail=0  elapsed=1965s  eta=96s
progress: 2880/3000 (96.0%)  ok=2880 fail=0  elapsed=1979s  eta=82s
progress: 2900/3000 (96.7%)  ok=2900 fail=0  elapsed=1992s  eta=69s
progress: 2920/3000 (97.3%)  ok=2920 fail=0  elapsed=2005s  eta=55s
progress: 2940/3000 (98.0%)  ok=2940 fail=0  elapsed=2019s  eta=41s
progress: 2960/3000 (98.7%)  ok=2960 fail=0  elapsed=2033s  eta=27s
progress: 2980/3000 (99.3%)  ok=2980 fail=0  elapsed=2047s  eta=14s
progress: 3000/3000 (100.0%)  ok=3000 fail=0  elapsed=2060s  eta=0s
DONE. ok=3000 fail=0 total=3000
=== TIME LIMIT REACHED OR RUN COMPLETED ===
end=1786460374
stagger_delay=59s
completed_count=3000
