=== FIXED-COUNT RUN: 3000 samples, render_timeout=5400s ===
start=1786287247
loaded 188 templates
prepared 3000 operation sequences
split into 150 chunks of up to 20 items each
progress: 1500/3000 (50.0%)  ok=1500 fail=0  elapsed=1726s  eta=1726s
progress: 1520/3000 (50.7%)  ok=1520 fail=0  elapsed=1749s  eta=1703s
progress: 1540/3000 (51.3%)  ok=1540 fail=0  elapsed=1772s  eta=1680s
progress: 1560/3000 (52.0%)  ok=1560 fail=0  elapsed=1797s  eta=1659s
progress: 1580/3000 (52.7%)  ok=1580 fail=0  elapsed=1820s  eta=1636s
progress: 1600/3000 (53.3%)  ok=1600 fail=0  elapsed=1843s  eta=1613s
progress: 1620/3000 (54.0%)  ok=1620 fail=0  elapsed=1865s  eta=1589s
progress: 1640/3000 (54.7%)  ok=1640 fail=0  elapsed=1889s  eta=1566s
progress: 1660/3000 (55.3%)  ok=1660 fail=0  elapsed=1912s  eta=1543s
progress: 1680/3000 (56.0%)  ok=1680 fail=0  elapsed=1934s  eta=1520s
progress: 1700/3000 (56.7%)  ok=1700 fail=0  elapsed=1957s  eta=1497s
progress: 1720/3000 (57.3%)  ok=1720 fail=0  elapsed=1979s  eta=1473s
progress: 1740/3000 (58.0%)  ok=1740 fail=0  elapsed=2003s  eta=1450s
progress: 1760/3000 (58.7%)  ok=1760 fail=0  elapsed=2026s  eta=1428s
progress: 1780/3000 (59.3%)  ok=1780 fail=0  elapsed=2049s  eta=1404s
progress: 1800/3000 (60.0%)  ok=1800 fail=0  elapsed=2073s  eta=1382s
progress: 1820/3000 (60.7%)  ok=1820 fail=0  elapsed=2097s  eta=1360s
progress: 1840/3000 (61.3%)  ok=1840 fail=0  elapsed=2121s  eta=1337s
progress: 1860/3000 (62.0%)  ok=1860 fail=0  elapsed=2146s  eta=1315s
progress: 1880/3000 (62.7%)  ok=1880 fail=0  elapsed=2169s  eta=1292s
progress: 1900/3000 (63.3%)  ok=1900 fail=0  elapsed=2193s  eta=1269s
progress: 1920/3000 (64.0%)  ok=1920 fail=0  elapsed=2216s  eta=1246s
progress: 1940/3000 (64.7%)  ok=1940 fail=0  elapsed=2239s  eta=1223s
progress: 1960/3000 (65.3%)  ok=1960 fail=0  elapsed=2261s  eta=1200s
progress: 1980/3000 (66.0%)  ok=1980 fail=0  elapsed=2284s  eta=1177s
