=== BUDGET-LIMITED RUN: time_limit=28800s ===
start=1786082276
loaded 188 templates
prepared 200000 operation sequences
split into 10000 chunks of up to 20 items each
progress: 1500/200000 (0.8%)  ok=1500 fail=0  elapsed=1743s  eta=230709s
progress: 1520/200000 (0.8%)  ok=1520 fail=0  elapsed=1768s  eta=230862s
progress: 1540/200000 (0.8%)  ok=1540 fail=0  elapsed=1791s  eta=230837s
progress: 1560/200000 (0.8%)  ok=1560 fail=0  elapsed=1815s  eta=230831s
progress: 1580/200000 (0.8%)  ok=1580 fail=0  elapsed=1838s  eta=230835s
progress: 1600/200000 (0.8%)  ok=1600 fail=0  elapsed=1861s  eta=230738s
progress: 1620/200000 (0.8%)  ok=1620 fail=0  elapsed=1884s  eta=230655s
progress: 1640/200000 (0.8%)  ok=1640 fail=0  elapsed=1907s  eta=230627s
progress: 1660/200000 (0.8%)  ok=1660 fail=0  elapsed=1930s  eta=230602s
progress: 1680/200000 (0.8%)  ok=1680 fail=0  elapsed=1952s  eta=230443s
progress: 1700/200000 (0.9%)  ok=1700 fail=0  elapsed=1976s  eta=230468s
progress: 1720/200000 (0.9%)  ok=1720 fail=0  elapsed=1999s  eta=230444s
progress: 1740/200000 (0.9%)  ok=1740 fail=0  elapsed=2023s  eta=230467s
progress: 1760/200000 (0.9%)  ok=1760 fail=0  elapsed=2045s  eta=230318s
progress: 1780/200000 (0.9%)  ok=1780 fail=0  elapsed=2068s  eta=230258s
progress: 1800/200000 (0.9%)  ok=1800 fail=0  elapsed=2090s  eta=230175s
progress: 1820/200000 (0.9%)  ok=1820 fail=0  elapsed=2112s  eta=229943s
progress: 1840/200000 (0.9%)  ok=1840 fail=0  elapsed=2134s  eta=229821s
progress: 1860/200000 (0.9%)  ok=1860 fail=0  elapsed=2156s  eta=229635s
progress: 1880/200000 (0.9%)  ok=1880 fail=0  elapsed=2179s  eta=229661s
progress: 1900/200000 (0.9%)  ok=1900 fail=0  elapsed=2203s  eta=229664s
progress: 1920/200000 (1.0%)  ok=1920 fail=0  elapsed=2229s  eta=229990s
progress: 1940/200000 (1.0%)  ok=1940 fail=0  elapsed=2253s  eta=230034s
progress: 1960/200000 (1.0%)  ok=1960 fail=0  elapsed=2276s  eta=229936s
progress: 1980/200000 (1.0%)  ok=1980 fail=0  elapsed=2298s  eta=229867s
progress: 2000/200000 (1.0%)  ok=2000 fail=0  elapsed=2323s  eta=229942s
progress: 2020/200000 (1.0%)  ok=2020 fail=0  elapsed=2345s  eta=229817s
progress: 2040/200000 (1.0%)  ok=2040 fail=0  elapsed=2368s  eta=229767s
progress: 2060/200000 (1.0%)  ok=2060 fail=0  elapsed=2390s  eta=229652s
progress: 2080/200000 (1.0%)  ok=2080 fail=0  elapsed=2414s  eta=229711s
progress: 2100/200000 (1.1%)  ok=2100 fail=0  elapsed=2440s  eta=229911s
progress: 2120/200000 (1.1%)  ok=2120 fail=0  elapsed=2462s  eta=229794s
progress: 2140/200000 (1.1%)  ok=2140 fail=0  elapsed=2484s  eta=229693s
progress: 2160/200000 (1.1%)  ok=2160 fail=0  elapsed=2508s  eta=229673s
progress: 2180/200000 (1.1%)  ok=2180 fail=0  elapsed=2531s  eta=229648s
progress: 2200/200000 (1.1%)  ok=2200 fail=0  elapsed=2554s  eta=229644s
progress: 2220/200000 (1.1%)  ok=2220 fail=0  elapsed=2577s  eta=229553s
progress: 2240/200000 (1.1%)  ok=2240 fail=0  elapsed=2601s  eta=229628s
progress: 2260/200000 (1.1%)  ok=2260 fail=0  elapsed=2625s  eta=229673s
progress: 2280/200000 (1.1%)  ok=2280 fail=0  elapsed=2648s  eta=229595s
progress: 2300/200000 (1.1%)  ok=2300 fail=0  elapsed=2671s  eta=229561s
progress: 2320/200000 (1.2%)  ok=2320 fail=0  elapsed=2694s  eta=229537s
progress: 2340/200000 (1.2%)  ok=2340 fail=0  elapsed=2717s  eta=229503s
progress: 2360/200000 (1.2%)  ok=2360 fail=0  elapsed=2739s  eta=229393s
progress: 2380/200000 (1.2%)  ok=2380 fail=0  elapsed=2763s  eta=229423s
progress: 2400/200000 (1.2%)  ok=2400 fail=0  elapsed=2785s  eta=229294s
progress: 2420/200000 (1.2%)  ok=2420 fail=0  elapsed=2808s  eta=229256s
progress: 2440/200000 (1.2%)  ok=2440 fail=0  elapsed=2830s  eta=229129s
progress: 2460/200000 (1.2%)  ok=2460 fail=0  elapsed=2853s  eta=229112s
progress: 2480/200000 (1.2%)  ok=2480 fail=0  elapsed=2876s  eta=229062s
progress: 2500/200000 (1.2%)  ok=2500 fail=0  elapsed=2899s  eta=229046s
progress: 2520/200000 (1.3%)  ok=2520 fail=0  elapsed=2923s  eta=229025s
progress: 2540/200000 (1.3%)  ok=2540 fail=0  elapsed=2945s  eta=228928s
progress: 2560/200000 (1.3%)  ok=2560 fail=0  elapsed=2968s  eta=228943s
progress: 2580/200000 (1.3%)  ok=2580 fail=0  elapsed=2991s  eta=228838s
progress: 2600/200000 (1.3%)  ok=2600 fail=0  elapsed=3013s  eta=228790s
progress: 2620/200000 (1.3%)  ok=2620 fail=0  elapsed=3037s  eta=228804s
progress: 2640/200000 (1.3%)  ok=2640 fail=0  elapsed=3059s  eta=228681s
progress: 2660/200000 (1.3%)  ok=2660 fail=0  elapsed=3082s  eta=228684s
progress: 2680/200000 (1.3%)  ok=2680 fail=0  elapsed=3106s  eta=228713s
progress: 2700/200000 (1.4%)  ok=2700 fail=0  elapsed=3129s  eta=228670s
progress: 2720/200000 (1.4%)  ok=2720 fail=0  elapsed=3152s  eta=228620s
progress: 2740/200000 (1.4%)  ok=2740 fail=0  elapsed=3175s  eta=228543s
progress: 2760/200000 (1.4%)  ok=2760 fail=0  elapsed=3197s  eta=228435s
progress: 2780/200000 (1.4%)  ok=2780 fail=0  elapsed=3221s  eta=228500s
progress: 2800/200000 (1.4%)  ok=2800 fail=0  elapsed=3243s  eta=228414s
progress: 2820/200000 (1.4%)  ok=2820 fail=0  elapsed=3266s  eta=228365s
