=== FIXED-COUNT RUN: 3000 samples, render_timeout=5400s ===
start=1786437330
loaded 188 templates
prepared 3000 operation sequences
split into 150 chunks of up to 20 items each
progress: 1500/3000 (50.0%)  ok=1500 fail=0  elapsed=1015s  eta=1015s
progress: 1520/3000 (50.7%)  ok=1520 fail=0  elapsed=1028s  eta=1001s
progress: 1540/3000 (51.3%)  ok=1540 fail=0  elapsed=1042s  eta=988s
progress: 1560/3000 (52.0%)  ok=1560 fail=0  elapsed=1055s  eta=974s
progress: 1580/3000 (52.7%)  ok=1580 fail=0  elapsed=1070s  eta=962s
progress: 1600/3000 (53.3%)  ok=1600 fail=0  elapsed=1083s  eta=948s
progress: 1620/3000 (54.0%)  ok=1620 fail=0  elapsed=1098s  eta=935s
progress: 1640/3000 (54.7%)  ok=1640 fail=0  elapsed=1110s  eta=921s
progress: 1660/3000 (55.3%)  ok=1660 fail=0  elapsed=1124s  eta=907s
progress: 1680/3000 (56.0%)  ok=1680 fail=0  elapsed=1136s  eta=893s
progress: 1700/3000 (56.7%)  ok=1700 fail=0  elapsed=1150s  eta=880s
progress: 1720/3000 (57.3%)  ok=1720 fail=0  elapsed=1164s  eta=866s
progress: 1740/3000 (58.0%)  ok=1740 fail=0  elapsed=1177s  eta=852s
progress: 1760/3000 (58.7%)  ok=1760 fail=0  elapsed=1191s  eta=839s
progress: 1780/3000 (59.3%)  ok=1780 fail=0  elapsed=1205s  eta=826s
progress: 1800/3000 (60.0%)  ok=1800 fail=0  elapsed=1218s  eta=812s
progress: 1820/3000 (60.7%)  ok=1820 fail=0  elapsed=1232s  eta=799s
progress: 1840/3000 (61.3%)  ok=1840 fail=0  elapsed=1245s  eta=785s
progress: 1860/3000 (62.0%)  ok=1860 fail=0  elapsed=1258s  eta=771s
progress: 1880/3000 (62.7%)  ok=1880 fail=0  elapsed=1272s  eta=758s
progress: 1900/3000 (63.3%)  ok=1900 fail=0  elapsed=1286s  eta=744s
progress: 1920/3000 (64.0%)  ok=1920 fail=0  elapsed=1300s  eta=731s
progress: 1940/3000 (64.7%)  ok=1940 fail=0  elapsed=1312s  eta=717s
progress: 1960/3000 (65.3%)  ok=1960 fail=0  elapsed=1326s  eta=703s
progress: 1980/3000 (66.0%)  ok=1980 fail=0  elapsed=1339s  eta=690s
progress: 2000/3000 (66.7%)  ok=2000 fail=0  elapsed=1353s  eta=676s
progress: 2020/3000 (67.3%)  ok=2020 fail=0  elapsed=1367s  eta=663s
progress: 2040/3000 (68.0%)  ok=2040 fail=0  elapsed=1380s  eta=649s
progress: 2060/3000 (68.7%)  ok=2060 fail=0  elapsed=1393s  eta=636s
progress: 2080/3000 (69.3%)  ok=2080 fail=0  elapsed=1407s  eta=622s
progress: 2100/3000 (70.0%)  ok=2100 fail=0  elapsed=1419s  eta=608s
progress: 2120/3000 (70.7%)  ok=2120 fail=0  elapsed=1433s  eta=595s
progress: 2140/3000 (71.3%)  ok=2140 fail=0  elapsed=1447s  eta=581s
progress: 2160/3000 (72.0%)  ok=2160 fail=0  elapsed=1460s  eta=568s
progress: 2180/3000 (72.7%)  ok=2180 fail=0  elapsed=1474s  eta=554s
progress: 2200/3000 (73.3%)  ok=2200 fail=0  elapsed=1487s  eta=541s
progress: 2220/3000 (74.0%)  ok=2220 fail=0  elapsed=1501s  eta=527s
progress: 2240/3000 (74.7%)  ok=2240 fail=0  elapsed=1514s  eta=514s
progress: 2260/3000 (75.3%)  ok=2260 fail=0  elapsed=1528s  eta=500s
progress: 2280/3000 (76.0%)  ok=2280 fail=0  elapsed=1542s  eta=487s
progress: 2300/3000 (76.7%)  ok=2300 fail=0  elapsed=1555s  eta=473s
progress: 2320/3000 (77.3%)  ok=2320 fail=0  elapsed=1571s  eta=460s
progress: 2340/3000 (78.0%)  ok=2340 fail=0  elapsed=1584s  eta=447s
progress: 2360/3000 (78.7%)  ok=2360 fail=0  elapsed=1599s  eta=434s
