=== FIXED-COUNT RUN: 3000 samples, render_timeout=5400s ===
start=1786432634
loaded 188 templates
prepared 3000 operation sequences
split into 150 chunks of up to 20 items each
progress: 1500/3000 (50.0%)  ok=1500 fail=0  elapsed=1275s  eta=1275s
progress: 1520/3000 (50.7%)  ok=1520 fail=0  elapsed=1292s  eta=1258s
progress: 1540/3000 (51.3%)  ok=1540 fail=0  elapsed=1309s  eta=1241s
progress: 1560/3000 (52.0%)  ok=1560 fail=0  elapsed=1325s  eta=1223s
progress: 1580/3000 (52.7%)  ok=1580 fail=0  elapsed=1341s  eta=1205s
progress: 1600/3000 (53.3%)  ok=1600 fail=0  elapsed=1358s  eta=1188s
progress: 1620/3000 (54.0%)  ok=1620 fail=0  elapsed=1373s  eta=1170s
progress: 1640/3000 (54.7%)  ok=1640 fail=0  elapsed=1390s  eta=1153s
progress: 1660/3000 (55.3%)  ok=1660 fail=0  elapsed=1408s  eta=1137s
progress: 1680/3000 (56.0%)  ok=1680 fail=0  elapsed=1425s  eta=1119s
progress: 1700/3000 (56.7%)  ok=1700 fail=0  elapsed=1441s  eta=1102s
progress: 1720/3000 (57.3%)  ok=1720 fail=0  elapsed=1458s  eta=1085s
progress: 1740/3000 (58.0%)  ok=1740 fail=0  elapsed=1477s  eta=1069s
progress: 1760/3000 (58.7%)  ok=1760 fail=0  elapsed=1493s  eta=1052s
progress: 1780/3000 (59.3%)  ok=1780 fail=0  elapsed=1511s  eta=1035s
progress: 1800/3000 (60.0%)  ok=1800 fail=0  elapsed=1528s  eta=1019s
progress: 1820/3000 (60.7%)  ok=1820 fail=0  elapsed=1546s  eta=1002s
progress: 1840/3000 (61.3%)  ok=1840 fail=0  elapsed=1563s  eta=985s
progress: 1860/3000 (62.0%)  ok=1860 fail=0  elapsed=1579s  eta=968s
progress: 1880/3000 (62.7%)  ok=1880 fail=0  elapsed=1597s  eta=951s
progress: 1900/3000 (63.3%)  ok=1900 fail=0  elapsed=1614s  eta=934s
progress: 1920/3000 (64.0%)  ok=1920 fail=0  elapsed=1631s  eta=917s
progress: 1940/3000 (64.7%)  ok=1940 fail=0  elapsed=1648s  eta=900s
progress: 1960/3000 (65.3%)  ok=1960 fail=0  elapsed=1665s  eta=883s
progress: 1980/3000 (66.0%)  ok=1980 fail=0  elapsed=1681s  eta=866s
progress: 2000/3000 (66.7%)  ok=2000 fail=0  elapsed=1698s  eta=849s
progress: 2020/3000 (67.3%)  ok=2020 fail=0  elapsed=1716s  eta=833s
progress: 2040/3000 (68.0%)  ok=2040 fail=0  elapsed=1734s  eta=816s
progress: 2060/3000 (68.7%)  ok=2060 fail=0  elapsed=1752s  eta=800s
progress: 2080/3000 (69.3%)  ok=2080 fail=0  elapsed=1770s  eta=783s
progress: 2100/3000 (70.0%)  ok=2100 fail=0  elapsed=1788s  eta=766s
progress: 2120/3000 (70.7%)  ok=2120 fail=0  elapsed=1804s  eta=749s
progress: 2140/3000 (71.3%)  ok=2140 fail=0  elapsed=1820s  eta=731s
progress: 2160/3000 (72.0%)  ok=2160 fail=0  elapsed=1838s  eta=715s
progress: 2180/3000 (72.7%)  ok=2180 fail=0  elapsed=1855s  eta=698s
progress: 2200/3000 (73.3%)  ok=2200 fail=0  elapsed=1874s  eta=681s
progress: 2220/3000 (74.0%)  ok=2220 fail=0  elapsed=1891s  eta=664s
progress: 2240/3000 (74.7%)  ok=2240 fail=0  elapsed=1906s  eta=647s
progress: 2260/3000 (75.3%)  ok=2260 fail=0  elapsed=1922s  eta=629s
progress: 2280/3000 (76.0%)  ok=2280 fail=0  elapsed=1939s  eta=612s
progress: 2300/3000 (76.7%)  ok=2300 fail=0  elapsed=1957s  eta=596s
progress: 2320/3000 (77.3%)  ok=2320 fail=0  elapsed=1974s  eta=579s
progress: 2340/3000 (78.0%)  ok=2340 fail=0  elapsed=1991s  eta=562s
progress: 2360/3000 (78.7%)  ok=2360 fail=0  elapsed=2008s  eta=544s
progress: 2380/3000 (79.3%)  ok=2380 fail=0  elapsed=2025s  eta=527s
progress: 2400/3000 (80.0%)  ok=2400 fail=0  elapsed=2042s  eta=511s
progress: 2420/3000 (80.7%)  ok=2420 fail=0  elapsed=2059s  eta=494s
progress: 2440/3000 (81.3%)  ok=2440 fail=0  elapsed=2076s  eta=477s
progress: 2460/3000 (82.0%)  ok=2460 fail=0  elapsed=2093s  eta=460s
progress: 2480/3000 (82.7%)  ok=2480 fail=0  elapsed=2111s  eta=443s
progress: 2500/3000 (83.3%)  ok=2500 fail=0  elapsed=2128s  eta=426s
progress: 2520/3000 (84.0%)  ok=2520 fail=0  elapsed=2145s  eta=409s
progress: 2540/3000 (84.7%)  ok=2540 fail=0  elapsed=2161s  eta=391s
progress: 2560/3000 (85.3%)  ok=2560 fail=0  elapsed=2178s  eta=374s
progress: 2580/3000 (86.0%)  ok=2580 fail=0  elapsed=2195s  eta=357s
progress: 2600/3000 (86.7%)  ok=2600 fail=0  elapsed=2212s  eta=340s
progress: 2620/3000 (87.3%)  ok=2620 fail=0  elapsed=2229s  eta=323s
progress: 2640/3000 (88.0%)  ok=2640 fail=0  elapsed=2246s  eta=306s
progress: 2660/3000 (88.7%)  ok=2660 fail=0  elapsed=2264s  eta=289s
progress: 2680/3000 (89.3%)  ok=2680 fail=0  elapsed=2282s  eta=272s
progress: 2700/3000 (90.0%)  ok=2700 fail=0  elapsed=2298s  eta=255s
progress: 2720/3000 (90.7%)  ok=2720 fail=0  elapsed=2315s  eta=238s
progress: 2740/3000 (91.3%)  ok=2740 fail=0  elapsed=2333s  eta=221s
progress: 2760/3000 (92.0%)  ok=2760 fail=0  elapsed=2351s  eta=204s
progress: 2780/3000 (92.7%)  ok=2780 fail=0  elapsed=2368s  eta=187s
progress: 2800/3000 (93.3%)  ok=2800 fail=0  elapsed=2385s  eta=170s
progress: 2820/3000 (94.0%)  ok=2820 fail=0  elapsed=2400s  eta=153s
progress: 2840/3000 (94.7%)  ok=2840 fail=0  elapsed=2418s  eta=136s
progress: 2860/3000 (95.3%)  ok=2860 fail=0  elapsed=2435s  eta=119s
progress: 2880/3000 (96.0%)  ok=2880 fail=0  elapsed=2451s  eta=102s
progress: 2900/3000 (96.7%)  ok=2900 fail=0  elapsed=2469s  eta=85s
progress: 2920/3000 (97.3%)  ok=2920 fail=0  elapsed=2485s  eta=68s
progress: 2940/3000 (98.0%)  ok=2940 fail=0  elapsed=2502s  eta=51s
progress: 2960/3000 (98.7%)  ok=2960 fail=0  elapsed=2518s  eta=34s
progress: 2980/3000 (99.3%)  ok=2980 fail=0  elapsed=2534s  eta=17s
progress: 3000/3000 (100.0%)  ok=3000 fail=0  elapsed=2552s  eta=0s
DONE. ok=3000 fail=0 total=3000
=== TIME LIMIT REACHED OR RUN COMPLETED ===
end=1786435187
completed_count=3000
