=== FIXED-COUNT RUN: 3000 samples, render_timeout=5400s ===
start=1786462785
loaded 188 templates
prepared 3000 operation sequences
split into 150 chunks of up to 20 items each
progress: 1500/3000 (50.0%)  ok=1500 fail=0  elapsed=977s  eta=977s
progress: 1520/3000 (50.7%)  ok=1520 fail=0  elapsed=990s  eta=964s
progress: 1540/3000 (51.3%)  ok=1540 fail=0  elapsed=1003s  eta=951s
progress: 1560/3000 (52.0%)  ok=1560 fail=0  elapsed=1017s  eta=939s
progress: 1580/3000 (52.7%)  ok=1580 fail=0  elapsed=1030s  eta=926s
progress: 1600/3000 (53.3%)  ok=1600 fail=0  elapsed=1042s  eta=912s
progress: 1620/3000 (54.0%)  ok=1620 fail=0  elapsed=1055s  eta=899s
progress: 1640/3000 (54.7%)  ok=1640 fail=0  elapsed=1068s  eta=886s
progress: 1660/3000 (55.3%)  ok=1660 fail=0  elapsed=1081s  eta=873s
progress: 1680/3000 (56.0%)  ok=1680 fail=0  elapsed=1094s  eta=859s
progress: 1700/3000 (56.7%)  ok=1700 fail=0  elapsed=1107s  eta=846s
progress: 1720/3000 (57.3%)  ok=1720 fail=0  elapsed=1120s  eta=833s
progress: 1740/3000 (58.0%)  ok=1740 fail=0  elapsed=1132s  eta=820s
progress: 1760/3000 (58.7%)  ok=1760 fail=0  elapsed=1145s  eta=807s
progress: 1780/3000 (59.3%)  ok=1780 fail=0  elapsed=1158s  eta=794s
progress: 1800/3000 (60.0%)  ok=1800 fail=0  elapsed=1171s  eta=781s
progress: 1820/3000 (60.7%)  ok=1820 fail=0  elapsed=1184s  eta=767s
progress: 1840/3000 (61.3%)  ok=1840 fail=0  elapsed=1196s  eta=754s
progress: 1860/3000 (62.0%)  ok=1860 fail=0  elapsed=1210s  eta=742s
progress: 1880/3000 (62.7%)  ok=1880 fail=0  elapsed=1223s  eta=729s
progress: 1900/3000 (63.3%)  ok=1900 fail=0  elapsed=1236s  eta=715s
progress: 1920/3000 (64.0%)  ok=1920 fail=0  elapsed=1249s  eta=702s
progress: 1940/3000 (64.7%)  ok=1940 fail=0  elapsed=1262s  eta=689s
progress: 1960/3000 (65.3%)  ok=1960 fail=0  elapsed=1275s  eta=676s
progress: 1980/3000 (66.0%)  ok=1980 fail=0  elapsed=1288s  eta=664s
progress: 2000/3000 (66.7%)  ok=2000 fail=0  elapsed=1301s  eta=651s
progress: 2020/3000 (67.3%)  ok=2020 fail=0  elapsed=1314s  eta=638s
progress: 2040/3000 (68.0%)  ok=2040 fail=0  elapsed=1328s  eta=625s
progress: 2060/3000 (68.7%)  ok=2060 fail=0  elapsed=1341s  eta=612s
progress: 2080/3000 (69.3%)  ok=2080 fail=0  elapsed=1354s  eta=599s
progress: 2100/3000 (70.0%)  ok=2100 fail=0  elapsed=1367s  eta=586s
progress: 2120/3000 (70.7%)  ok=2120 fail=0  elapsed=1380s  eta=573s
progress: 2140/3000 (71.3%)  ok=2140 fail=0  elapsed=1393s  eta=560s
progress: 2160/3000 (72.0%)  ok=2160 fail=0  elapsed=1406s  eta=547s
progress: 2180/3000 (72.7%)  ok=2180 fail=0  elapsed=1420s  eta=534s
progress: 2200/3000 (73.3%)  ok=2200 fail=0  elapsed=1432s  eta=521s
progress: 2220/3000 (74.0%)  ok=2220 fail=0  elapsed=1445s  eta=508s
progress: 2240/3000 (74.7%)  ok=2240 fail=0  elapsed=1457s  eta=494s
progress: 2260/3000 (75.3%)  ok=2260 fail=0  elapsed=1471s  eta=482s
progress: 2280/3000 (76.0%)  ok=2280 fail=0  elapsed=1484s  eta=469s
progress: 2300/3000 (76.7%)  ok=2300 fail=0  elapsed=1497s  eta=456s
progress: 2320/3000 (77.3%)  ok=2320 fail=0  elapsed=1510s  eta=443s
progress: 2340/3000 (78.0%)  ok=2340 fail=0  elapsed=1522s  eta=429s
progress: 2360/3000 (78.7%)  ok=2360 fail=0  elapsed=1535s  eta=416s
progress: 2380/3000 (79.3%)  ok=2380 fail=0  elapsed=1548s  eta=403s
progress: 2400/3000 (80.0%)  ok=2400 fail=0  elapsed=1561s  eta=390s
progress: 2420/3000 (80.7%)  ok=2420 fail=0  elapsed=1575s  eta=377s
progress: 2440/3000 (81.3%)  ok=2440 fail=0  elapsed=1588s  eta=364s
progress: 2460/3000 (82.0%)  ok=2460 fail=0  elapsed=1601s  eta=351s
progress: 2480/3000 (82.7%)  ok=2480 fail=0  elapsed=1614s  eta=338s
progress: 2500/3000 (83.3%)  ok=2500 fail=0  elapsed=1626s  eta=325s
progress: 2520/3000 (84.0%)  ok=2520 fail=0  elapsed=1638s  eta=312s
progress: 2540/3000 (84.7%)  ok=2540 fail=0  elapsed=1652s  eta=299s
progress: 2560/3000 (85.3%)  ok=2560 fail=0  elapsed=1665s  eta=286s
progress: 2580/3000 (86.0%)  ok=2580 fail=0  elapsed=1679s  eta=273s
progress: 2600/3000 (86.7%)  ok=2600 fail=0  elapsed=1692s  eta=260s
progress: 2620/3000 (87.3%)  ok=2620 fail=0  elapsed=1705s  eta=247s
progress: 2640/3000 (88.0%)  ok=2640 fail=0  elapsed=1718s  eta=234s
progress: 2660/3000 (88.7%)  ok=2660 fail=0  elapsed=1731s  eta=221s
progress: 2680/3000 (89.3%)  ok=2680 fail=0  elapsed=1744s  eta=208s
progress: 2700/3000 (90.0%)  ok=2700 fail=0  elapsed=1757s  eta=195s
progress: 2720/3000 (90.7%)  ok=2720 fail=0  elapsed=1769s  eta=182s
progress: 2740/3000 (91.3%)  ok=2740 fail=0  elapsed=1783s  eta=169s
progress: 2760/3000 (92.0%)  ok=2760 fail=0  elapsed=1796s  eta=156s
progress: 2780/3000 (92.7%)  ok=2780 fail=0  elapsed=1809s  eta=143s
progress: 2800/3000 (93.3%)  ok=2800 fail=0  elapsed=1822s  eta=130s
progress: 2820/3000 (94.0%)  ok=2820 fail=0  elapsed=1835s  eta=117s
progress: 2840/3000 (94.7%)  ok=2840 fail=0  elapsed=1849s  eta=104s
progress: 2860/3000 (95.3%)  ok=2860 fail=0  elapsed=1862s  eta=91s
progress: 2880/3000 (96.0%)  ok=2880 fail=0  elapsed=1875s  eta=78s
progress: 2900/3000 (96.7%)  ok=2900 fail=0  elapsed=1888s  eta=65s
progress: 2920/3000 (97.3%)  ok=2920 fail=0  elapsed=1901s  eta=52s
progress: 2940/3000 (98.0%)  ok=2940 fail=0  elapsed=1914s  eta=39s
progress: 2960/3000 (98.7%)  ok=2960 fail=0  elapsed=1927s  eta=26s
progress: 2980/3000 (99.3%)  ok=2980 fail=0  elapsed=1940s  eta=13s
progress: 3000/3000 (100.0%)  ok=3000 fail=0  elapsed=1953s  eta=0s
DONE. ok=3000 fail=0 total=3000
=== TIME LIMIT REACHED OR RUN COMPLETED ===
end=1786464740
stagger_delay=50s
completed_count=3000
